"feature"	"structurePerIdRank"	"formulaRank"	"ConfidenceScoreExact"	"ConfidenceScoreApproximate"	"CSI.FingerIDScore"	"ZodiacScore"	"SiriusScore"	"molecularFormula"	"adduct"	"precursorFormula"	"InChIkey2D"	"InChI"	"name"	"smiles"	"xlogp"	"pubchemids"	"links"	"dbflags"	"ionMass"	"retentionTimeInSeconds"	"retentionTimeInMinutes"	"formulaId"	"alignedFeatureId"	"mappingFeatureId"	"overallFeatureQuality"	"NPC.pathway"	"NPC.pathway.Probability"	"NPC.superclass"	"NPC.superclass.Probability"	"NPC.class"	"NPC.class.Probability"	"ClassyFire.superclass"	"ClassyFire.superclass.probability"	"ClassyFire.class"	"ClassyFire.class.Probability"	"ClassyFire.subclass"	"ClassyFire.subclass.Probability"	"ClassyFire.level.5"	"ClassyFire.level.5.Probability"	"ClassyFire.most.specific.class"	"ClassyFire.most.specific.class.Probability"	"ClassyFire.all.classifications"	"Avena.sativa"	"Chelidonium.majus"	"Cinchona.pubescens"	"Citrullus.colocynthis."	"Colon.Suis.D4"	"Cynara.scolymus"	"Duodenum.Suis.D4"	"Hepar.comp.Ampoules..Bulk.mat.52324."	"Hepar.Suis.D4"	"Hepeel.ampoule.solution..Bulk"	"Lycopodium.clavatum"	"Mixture.analogue.Hepar"	"Mixture.analogue.Hepeel."	"Myristica.fragrans."	"Negative.Control"	"Negative.control..Wfi.with.NaCl."	"Pankreas.Suis.D4"	"positive.Control"	"Silybum.marianum."	"Taraxacum.officinale"	"Thymus.Suis.D4"	"Veratrum.album"	"Vesica.Fellea.Suis.D4"
"P_978"	1	1	0.344	0.595	-60.804	NA	24.937	"C5H13NO"	"[M]+"	"C5H14NO+"	"UWKDZWSATBBGBN"	"InChI=1S/C5H13NO/c1-3-6(2)4-5-7/h7H,3-5H2,1-2H3"	"2-[Ethyl(methyl)amino]ethyloxidanium"	"CCN(C)CCO"	-0.1	"38988854;152773769;17916"	"PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(38988854 152773769 17916);DSSTox:(DTXSID10183131)"	137506062338	104.107	56	0.929	637172376738602496	637163292152458624	978	NA	"Fatty acids"	0.781	"Fatty amides"	0.04	"Sphingoid bases"	0.282	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Quaternary ammonium salts"	0.613	""	NA	"Quaternary ammonium salts"	0.613	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Quaternary ammonium salts; 1,2-aminoalcohols; Amines; Alkanolamines; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	983005	1194334	471819	2528187	13497	1016182	30801	220	85678	6390	1357692	1402781	1959575	937242	439	41	33728	33111	3129674	1898729	32367	1380209	48181
"P_24564"	1	1	0.687	0.694	-26.166	NA	21.397	"C12H22O11"	"[M + Na]+"	"C12H22NaO11+"	"CZMRCDWAGMRECN"	"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2"	"Sucrose"	"C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O"	-4.408	"42552636;42552748;95479526;118855898;118856097;101190003;101414858;101433504;102602453;58798222;124897586;124897589;124897590;124905301;9798109;9907067;157738396;157738398;53301851;53384916;94008900;94011385;94011386;146527436;87786366;15560349;15560351;15560355;15560360;15560361;15560364;50990598;16071271;23304668;16217536;16219991;51404248;51404249;51404250;51404251;163507143;163507144;163507145;163507146;53748486;53748487;53748488;53748489;53748490;53748491;53748492;129705146;129729514;22827006;69501288;22886035;69860867;58307999;7566553;7566558;7566987;7566990;137145974;124099437;102041674;102041675;102041676;102217474;102425861;162701524;95566337;162938326;162938327;162938328;136212896;6326101;59059877;59103604;59105062;97052224;59378726;156514436;66788661;156614224;156614225;156614231;156614239;156614241;156614251;156616667;156616668;156619127;89770229;16663020;89989618;56628400;56845955;70899489;91692850;3036169;91846522;91850964;91857064;10215500;69175355;69497010;641624;641681;99957894;60078499;60078646;60109619;129316839;29987096;29987099;165412853;165412854;165412855;165412856;89355142;90945623;71752269;93091914;93286457;123532914;131801521;131801522;158027103;68152165;68233016;68243417;68255877;68321398;139025105;139025265;45040429;70087999;98092727;98092728;92854535;59664699;10903976;1115;5988;193385;196128;448244;46782954;46936484;93532320;93532321;91242203;117783796;133568280;133611801;133687166;49766505;164721228;18649154;71024598;71024603;71026769;71078848;71122057;71160516;71171065;71295147;57181456;71306938;71309926;71310301;57193742;44120115;71469257;57358095;57702372;57997981;68519390;99134536;24892744;68984672;68986737"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000258 HMDB0246276);MiMeDB:(MMDBc0000508 MMDBc0054362);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(53748491 3036169 5988 57345277 53748487 1115);SUPERNATURAL:(SN0059805);HSDB:(57-50-1);MESH:(5988 193385 196128 3036169 7566553);FooDB:(FDB001131 FDB003715 FDB021085);PUBCHEM:(42552636 42552748 95479526 118855898 118856097 101190003 101414858 101433504 102602453 58798222 124897586 124897589 124897590 124905301 9798109 9907067 157738396 157738398 53301851 53384916 94008900 94011385 94011386 146527436 87786366 15560349 15560351 15560355 15560360 15560361 15560364 50990598 16071271 23304668 16217536 16219991 51404248 51404249 51404250 51404251 163507143 163507144 163507145 163507146 53748486 53748487 53748488 53748489 53748490 53748491 53748492 129705146 129729514 22827006 69501288 22886035 69860867 58307999 7566553 7566558 7566987 7566990 137145974 124099437 102041674 102041675 102041676 102217474 102425861 162701524 95566337 162938326 162938327 162938328 136212896 6326101 59059877 59103604 59105062 97052224 59378726 156514436 66788661 156614224 156614225 156614231 156614239 156614241 156614251 156616667 156616668 156619127 89770229 16663020 89989618 56628400 56845955 70899489 91692850 3036169 91846522 91850964 91857064 10215500 69175355 69497010 641624 641681 99957894 60078499 60078646 60109619 129316839 29987096 29987099 165412853 165412854 165412855 165412856 89355142 90945623 71752269 93091914 93286457 123532914 131801521 131801522 158027103 68152165 68233016 68243417 68255877 68321398 139025105 139025265 45040429 70087999 98092727 98092728 92854535 59664699 10903976 1115 5988 193385 196128 448244 46782954 46936484 93532320 93532321 91242203 117783796 133568280 133611801 133687166 49766505 164721228 18649154 71024598 71024603 71026769 71078848 71122057 71160516 71171065 71295147 57181456 71306938 71309926 71310301 57193742 44120115 71469257 57358095 57702372 57997981 68519390 99134536 24892744 68984672 68986737);GNPS:(CCMSLIB00003139675 CCMSLIB00000479739);COCONUT:(CNP0208561);NORMAN:(NS00014135);METACYC:(CPD0-2682 CPD-10684 SUCROSE);PLANTCYC:(SUCROSE);CHEBI:(51833 65313 17992 193884 18260 172954);KEGG:(C00089 C18068 C04219);DSSTox:(DTXSID2021288 DTXSID20859012 DTXSID501278718);LOTUS:(Q104972893 Q104972894 Q4027534 Q103818207);YMDB:(YMDB00906);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(CZMRCDWAGMRECN-UHFFFAOYSA-N)"	139577465726	365.105	56	0.933	637231088063202048	637164282192869120	24564	NA	"Carbohydrates"	1	"Saccharides"	1	"Disaccharides"	0.998	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	1	"Glycosyl compounds"	0.986	"C-glycosyl compounds"	0.515	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; C-glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	5711	49445	5137	1122	13991	6141507	6646	13806913	6444	4034	1892701	88949	188676	12245524	9091	468	5552	7395	23667	842	7063	859370	8590
"P_3080"	1	1	0.828	0.894	-22.585	NA	26.647	"C5H11NO2"	"[M + Na]+"	"C5H11NNaO2+"	"KWIUHFFTVRNATP"	"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3/p+1"	"(carboxymethyl)trimethylazanium"	"C[N+](C)(C)CC(=O)O"	-0.1	"157471029;16213878;51038295;51038296;51038297;51038298;124202881;124202882;12718901;71776458;11073713;45038329;247;248;12314391;117065540;117065541"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000043);MiMeDB:(MMDBc0000012 MMDBc0056399);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(11545 521862 248 23617112 247 5702209);SUPERNATURAL:(SN0197222);HSDB:(107-43-7);MESH:(247 248);FooDB:(FDB009020);PUBCHEM:(157471029 16213878 51038295 51038296 51038297 51038298 124202881 124202882 12718901 71776458 11073713 45038329 247 248 12314391 117065540 117065541);COCONUT:(CNP0143060 CNP0334080 CNP0422425);NORMAN:(NS00002774 NS00068580 NS00079917 NS00080457 NS00082964);METACYC:(BETAINE);PLANTCYC:(BETAINE);CHEBI:(91242 17750 41139);KEGG:(C00719);DSSTox:(DTXSID0044446 DTXSID20747142 DTXSID40584152 DTXSID40859190 DTXSID60974793 DTXSID7049421 DTXSID8022666);LOTUS:(Q10860583);YMDB:(YMDB01516);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(KWIUHFFTVRNATP-UHFFFAOYSA-N)"	139577461630	140.067	56	0.94	637173307815549824	637163388604683904	3080	NA	"Amino acids and Peptides"	0.779	"Small peptides"	0.881	"Aminoacids"	0.844	"Organic acids and derivatives"	0.986	"Carboxylic acids and derivatives"	0.976	"Amino acids, peptides, and analogues"	0.834	"Amino acids and derivatives"	0.831	"Alpha amino acids and derivatives"	0.807	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	111147	4903	6580	65509	9732	6839	29239	167	7345	540	29099	62513	20397	5554	3605	8	60445	25024	23186	9467	22699	10653	8026
"P_2405"	1	1	0.343	0.343	-68.462	NA	21.605	"C5H11N3O"	"[M + H]+"	"C5H12N3O+"	"GPBMONMTGCMDKZ"	"InChI=1S/C5H11N3O/c9-7-6-8-4-2-1-3-5-8/h1-5H2,(H,6,9)"	"(E)-oxido(piperidin-1-yl)diazene"	"C1CCN(CC1)NN=O"	1.1	"15012437;141641287"	"PUBCHEM:(15012437 141641287)"	2	130.097	57	0.954	637172954638300800	637163360024693120	2405	NA	"Alkaloids"	0.741	"Ornithine alkaloids"	0.076	"Aminoacids"	0.049	"Organoheterocyclic compounds"	0.811	"Piperidines"	0.63	"Nitrosopiperidines"	0.657	""	NA	"Nitrosopiperidines"	0.657	"Organic compounds; Organoheterocyclic compounds; Piperidines; Organonitrogen compounds; Nitrosopiperidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Organic nitroso compounds; Organic N-nitroso compounds; Chemical entities"	246430	248589	3829	175280	25	163671	16	40	25	142	95492	400387	416013	474	23954	67	103966	0	508807	583936	11	1600770	29
"P_11949"	1	1	0.956	0.956	-2.894	NA	19.666	"C9H13N3O5"	"[M + H]+"	"C9H14N3O5+"	"UHDGCWIWMRVCDJ"	"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)"	"Cytidin"	"C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O"	-2.175	"154746981;101008162;21725490;21868284;58519508;102601364;102602088;58899188;6551012;6603781;6713582;23277867;5246479;16212026;129849649;58460874;101638449;6476646;6479885;6480064;5702244;59476533;66800112;16760387;100935585;139591931;70994952;3013211;25085165;69371707;638040;60138999;148710634;89495334;142117909;54353063;131701110;123837539;121486971;121487027;121487034;121487038;68199635;11032279;11311100;11425092;139025281;45109772;139267828;139267847;139267848;10586353;59713247;10944747;123214154;596;6175;6253;114682;122948;160696;453552;91142034;117732781;91278098;12153975;12358851;1265901;11791524;121596077;122468509;90089493;49849608;90472732;71230474;71315149;44264135;57369276;44307610;44356841;57764456;57807005;24729357;24848249"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000089 HMDB0015122 HMDB0248553);MiMeDB:(MMDBc0000023 MMDBc0013654);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(6252 69621045 5351180 6175 124080914 12358851 596 114682 6253);SUPERNATURAL:(SN0370328);HSDB:(147-94-4);MESH:(596 6175 6253 114682 160696 12358851);FooDB:(FDB001216 FDB001979);PUBCHEM:(154746981 101008162 21725490 21868284 58519508 102601364 102602088 58899188 6551012 6603781 6713582 23277867 5246479 16212026 129849649 58460874 101638449 6476646 6479885 6480064 5702244 59476533 66800112 16760387 100935585 139591931 70994952 3013211 25085165 69371707 638040 60138999 148710634 89495334 142117909 54353063 131701110 123837539 121486971 121487027 121487034 121487038 68199635 11032279 11311100 11425092 139025281 45109772 139267828 139267847 139267848 10586353 59713247 10944747 123214154 596 6175 6253 114682 122948 160696 453552 91142034 117732781 91278098 12153975 12358851 1265901 11791524 121596077 122468509 90089493 49849608 90472732 71230474 71315149 44264135 57369276 44307610 44356841 57764456 57807005 24729357 24848249);COCONUT:(CNP0203298);NORMAN:(NS00005949 NS00069068 NS00076327);METACYC:(CPD-15099 CYTIDINE SMA-0000383);PLANTCYC:(CYTIDINE);CHEBI:(28680 17562);KEGG:(C02961 C00475);DSSTox:(DTXSID20943324 DTXSID3022877 DTXSID40276262 DTXSID5024891 DTXSID60188813 DTXSID60891552 DTXSID60953028 DTXSID901245949);LOTUS:(Q77514687 Q422538 Q180983 Q72461302);YMDB:(YMDB00051);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(UHDGCWIWMRVCDJ-UHFFFAOYSA-N)"	139443243902	244.093	58	0.969	637187346018988288	637163758542340864	11949	NA	"Carbohydrates"	1	"Nucleosides"	1	"Pyrimidine nucleosides"	1	"Nucleosides, nucleotides, and analogues"	0.983	"Pyrimidine nucleosides"	0.984	""	NA	""	NA	"Pyrimidine nucleosides"	0.984	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Pyrimidine nucleosides; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Glycosyl compounds; Hydropyrimidines; Glycosylamines; Amines; Primary amines; Tetrahydrofurans; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	21744	1696	3774	3713	3077	3572	6104	45	7235	25	6421	21429	24422	28003	26	8	58344	13253	130937	16598	17384	19542	1480
"P_4519"	1	1	0.329	0.329	-82.583	NA	11.176	"C5H13NOS"	"[M + Na]+"	"C5H13NNaOS+"	"FRRCFKLOPJSLMF"	"InChI=1S/C5H13NOS/c1-8(7)5-3-2-4-6/h2-6H2,1H3"	"4-methylsulfinyl(114C)butan-1-amine"	"CS(=O)CCCCN"	-0.9	"92012644;12981639;11094686;11217585;92981005;10725896"	"PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(92012644 12981639 11094686 11217585 92981005 10725896)"	67108866	158.059	59	0.981	637174214662012928	637163452815291008	4519	NA	"Fatty acids"	0.942	"Fatty acyls"	0.732	"Primary amides"	0.619	"Organic nitrogen compounds"	0.885	"Organonitrogen compounds"	0.825	""	NA	""	NA	"Organonitrogen compounds"	0.825	"Organic compounds; Organosulfur compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities"	252526	805	712081	113	189	76	39	28	194	19	0	47502	54669	219	214	13	39	141	322	267	138	174	144
"P_410"	1	1	0.821	0.821	-20.762	NA	4.73	"C4H7N"	"[M + H]+"	"C4H8N+"	"UKLDSDRVQHELPX"	"InChI=1S/C4H7N/c1-2-4-5-3-1/h5H,1-3H2"	"(Pyrrolidine-2-ylidene)radical"	"C1C[C]NC1"	0.523	"132573249"	"PUBCHEM:(132573249)"	2	70.065	59	0.987	637172248862639104	637163268949566080	410	NA	"Alkaloids"	0.938	"Ornithine alkaloids"	0.222	"Acetate-derived alkaloids"	0.341	"Organoheterocyclic compounds"	0.86	"Pyrrolidines"	0.638	""	NA	""	NA	"Pyrrolidines"	0.638	"Organic compounds; Organoheterocyclic compounds; Pyrrolidines; Organonitrogen compounds; Dialkylamines; Amines; Secondary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	134799	162175	2390	33975	2190	238707	8799	66	10054	208	70842	313464	198957	24059	5925	167	19115	6623	225749	354062	6775	995169	3295
"P_3505"	1	1	0.935	0.981	-9.633	NA	49.758	"C5H11N3O2"	"[M + H]+"	"C5H12N3O2+"	"TUHVEAJXIMEOSA"	"InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)"	"4-carbamimidamidobutanoic acid"	"C(CC(=O)O)CN=C(N)N"	-1.5	"23104037;102319962;25200642;500"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0003464);MiMeDB:(MMDBc0033043);BloodExposome:(500);SUPERNATURAL:(SN0360219);MESH:(500 25200642);FooDB:(FDB005408);PUBCHEM:(23104037 102319962 25200642 500);GNPS:(CCMSLIB00000578008);COCONUT:(CNP0333230);NORMAN:(NS00014565);PLANTCYC:(CPD-592);CHEBI:(86392 86564 15728 57486);KEGG:(C01035);DSSTox:(DTXSID50196785 DTXSID70930244);LOTUS:(Q27457468);YMDB:(YMDB00585);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	139376136558	146.093	60	1	637173513206459904	637163406162042624	3505	NA	"Amino acids and Peptides"	0.499	"Small peptides"	0.488	"Aminoacids"	0.739	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.302	"Amino acids and derivatives"	0.301	"Gamma amino acids and derivatives"	0.777	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Straight chain fatty acids; Guanidines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Gamma amino acids and derivatives; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	581379	367685	8503	429114	655	51701	219	193	177	112	71912	125401	361096	483462	11306	11	3389	525	420012	789117	4204	1201612	315
"P_14716"	1	1	0.368	0.368	-274.738	NA	9.814	"C11H15N7O4"	"[M - H4O2 + H]+"	"C11H12N7O2+"	"WYRWRGIGYVLOGE"	"InChI=1S/C11H15N7O4/c12-1-2-17(4-7(20)21)6(19)3-18-5-14-8-9(18)15-11(13)16-10(8)22/h5H,1-4,12H2,(H,20,21)(H3,13,15,16,22)"	"2-Aminoethylglycine-carbonylmethylene-guanine"	"C1=NC2=C(N1CC(=O)N(CCN)CC(=O)O)N=C(NC2=O)N"	-5.1	"135509101;135509102"	"PUBCHEMANNOTATIONBIO;PUBCHEM:(135509101 135509102)"	16777218	274.105	60	1.005	637195349351812096	637163867095136512	14716	NA	"Carbohydrates"	0.971	"Nucleosides"	0.947	"Purine nucleosides"	0.791	"Organic oxygen compounds"	0.996	"Organooxygen compounds"	0.971	"Carbohydrates and carbohydrate conjugates"	0.685	"Glycosyl compounds"	0.678	"Glycosylamines"	0.794	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 6-aminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1151	4838	3879	84526	16	3786	57	11	141	15	978387	222997	193261	66646	35	0	1875	69	43678	10251	90	168428	73
"P_969"	1	1	0.486	0.762	-51.323	NA	25.373	"C4H9NO2"	"[M + H]+"	"C4H10NO2+"	"GDFAOVXKHJXLEI"	"InChI=1S/C4H9NO2/c1-3(5-2)4(6)7/h3,5H,1-2H3,(H,6,7)"	"2-(methylamino)propanoic acid"	"CC(C(=O)O)NC"	-2.5	"21583265;101267133;6971259;53468070;5288725;163575621;22852121;7059597;146194247;146194248;25245686;148550563;4377;92973;18926033;57084490"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0094692 HMDB0255173);MiMeDB:(MMDBc0000710);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(4377 6971259 5288725);SUPERNATURAL:(SN0102558);MESH:(4377 5288725);PUBCHEM:(21583265 101267133 6971259 53468070 5288725 163575621 22852121 7059597 146194247 146194248 25245686 148550563 4377 92973 18926033 57084490);COCONUT:(CNP0126063);METACYC:(CPD-14303 CPD-298);CHEBI:(17519 58175 143269);KEGG:(C02721);DSSTox:(DTXSID20626145 DTXSID30959936 DTXSID50951078 DTXSID70275905);LOTUS:(Q27102436);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	138905913710	104.07	60	1.006	637172371936123904	637163291804331392	969	NA	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.999	"Amino acids and derivatives"	0.999	"Alpha amino acids"	0.943	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Dialkylamines; Alpha amino acids; Amines; Secondary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	14665	2439	510	183	0	84	0	38	0	64	192	8982	6396	2294	3001	43	0	0	9743	2405	0	10957	11
"P_8351"	1	1	0.372	0.372	-130.401	NA	60.184	"C8H13NO5"	"[M + H]+"	"C8H14NO5+"	"GKTCYHZKYCPMGF"	"InChI=1S/C8H13NO5/c1-4(11)9-5-3-14-6(2-10)8(13)7(5)12/h3,5-8,10,12-13H,2H2,1H3/p+1"	"N-[(3S,4R,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3,4,5,6-tetrahydro-2H-pyran-2-ylium-3-yl]acetamide;hydron"	"CC(=O)NC1[CH+]OC(C(C1O)O)CO"	-2.1	"5326509;165416384;164890170"	"PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(5326509 165416384 164890170)"	16777218	204.088	60	1.008	637179033767173504	637163610521140480	8351	NA	"Carbohydrates"	0.979	"Aminosugars and aminoglycosides"	0.92	"Aminosugars"	0.941	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	0.764	"Monosaccharides"	0.795	"Monosaccharides"	0.795	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	3472	21256	37599	55557	1587	26681	2434	18	1792	29	30449	15499	48405	72984	209	0	1419	1407	46953	37711	1137	54485	987
